BEBIDAS,AGUA SALUS BD 6 25LT
BEBIDAS,CAPSULAS STARBUCKS
LIMPIEZA,DOLCE GUSTO CHOCOCIN
DULCES Y POSTRES,GALLETITAS GULLON
COPETIN,GRANOLA DE LA TIERRA
PANADERIA,PAN DE VIENA X8
LACTEOS,LECHE TETRATOP PARC. DESLACTOSA
PAPELERIA,HARINA CAÑUELAS 0000 1KG 6 PTS
FRUTAS Y VERDURAS,ZANAHORIA 1 K
HIGIENE PERSONAL,LOMITO CANADIENSE T.INGLESA
LACTEOS,QUESO MUZZARELLA COLONIAL
FRUTAS Y VERDURAS,MORRON ROJO
LIMPIEZA,QUESO DAMBO FARMING
FRUTAS Y VERDURAS,ZAPALLO CALABACIN ENTERO
ELECTRODOMESTICOS,PAN TORTUGA X6 300G. SORCHANTES
FRUTAS Y VERDURAS,CEBOLLA MALLA 6 PTS
OTROS,HUEVO COL. JUMBO X12 TIENDA IN
LIMPIEZA,SALSA SOJA AGRIDULCE 250. KYOT
ALMACEN,QUESO ALPA MAGRETTO S.UNTABLE
FRUTAS Y VERDURAS,BUÑUELOS DE ESPINACA KG
COPETIN,AVENA LAMIN. INST. 400G TIENDA
OTROS,AGUA SALUS 6.25L. S/GAS 12 PTS
CARNES Y FIAMBRES,MILANESA DE CARNE FRITA KG
LACTEOS,MUZZARELLA LIGHT CONAPROLE
COPETIN,AJOS X 2 7 PTS
COCINA,AJO EN VINAGRE S/SAL 328G. DEL
ALMACEN,POSTRE LIGHT VAINILLA 43G. ROYA
BEBIDAS,REFRESCO SPRITE ZERO 2.25L. DES
ALMACEN,ACEITE GIRAS/MAIZ 900ML. TIENDA
OTROS,TERMA. LIMON CERO 1.35L. 14 PT
LACTEOS,LECHUGA CRESPA BLANCA 5 PTS
LIMPIEZA,REFRESCO 2.25L. COLA SIN AZUCA
HIGIENE PERSONAL,AZUCAR 1KG TIENDA INGLESA 5 P
