153,OTROS,5,1
154,ALIMENTOS PREPARADOS,169,1
155,LIMPIEZA,271,1
156,CARNES Y FIAMBRES,718.52,1
157,LACTEOS,262.41999999999996,1
158,COCINA,269,1
159,COPETIN,61,1
160,BEBIDAS,200,1
161,COCINA,370,3
162,FRUTAS Y VERDURAS,153.95,3
163,LIMPIEZA,359,3
164,ALMACEN,57,3
165,PANADERIA,169,3
166,ELECTRODOMESTICOS,417.8,3
167,LACTEOS,957.4000000000001,3
168,CARNES Y FIAMBRES,144.72,3
169,HIGIENE PERSONAL,176,3
170,BEBIDAS,104,3
171,COPETIN,130,3
172,BEBIDAS,486,2
173,LIMPIEZA,395,2
174,DULCES Y POSTRES,166,2
175,COPETIN,199,2
176,PANADERIA,85,2
177,BEBIDAS,366,8
178,ALMACEN,504,8
179,CARNES Y FIAMBRES,322.35,8
180,LIMPIEZA,335,8
181,HIGIENE PERSONAL,186.66,8
182,LACTEOS,343.78999999999996,8
183,PANADERIA,425,8
184,DULCES Y POSTRES,80,8
