1,BOLSA CAMISETA COMPO,1,5,5,1
2,CARBON FUEGO MARKET,1,169,169,1
3,CER ZILLERTAL IPA BT,1,145,145,1
4,ENVASE CERVEZA ZILLE,1,15,15,1
5,CHORIZO EXTRA CATTIV,0.396,519,205.52,1
6,HUEVOS JUMBO PRODHIN,2,122,244,1
7,L CALCIO CONA,3,37,111,1
8,LECHE ULTRA DESC CO,3,37,111,1
9,LENA SERRANA PACK 10,1,269,269,1
10,MORC SALADA KALI A V,0.272,379,269,1
11,PAN FRANCES GR X UN,1,61,61,1
12,Q PARR FRACC CONAPRO,0.268,565,151.42,1
13,REFRESCO SCHWEPPES C,2,100,200,1
14,BOLSA CAMISETA COMPO,1,5,5,2
15,CAFE NESCAFE GOLD FC,1,330,330,2
16,CASERO REB MULTI UN,1,95,95,2
17,MUSLO 1 4 CALPRYCA,0.44,148,65.12,2
18,P FROLA MEMBRILLO KG,0.288,569,163.85,2
19,POSTRE RAMONA OLASO,1,979,979,2
20,ACAC HVO 0 50,1,54,54,3
21,CASERO REB MULTI UN,1,95,95,3
22,CEBOLLIN ENVASADO,0.844,79,66.67,3
23,CEREAL VITALISIMO,1,271,271,3
24,GALLETAS CHOC S AZUC,1,92,92,3
25,GALLETAS EL TRIGAL,2,92,184,3
26,GRANOLA GRANIX,1,161,161,3
27,HUEVOS PRODHIN,1,145,145,3
28,JUGO NAR C ZAN LIGHT,1,301,301,3
29,LECHE ULTRA DESLACTO,1,53,53,3
30,MORRON ROJO ESPECIAL,0.236,99,23.36,3
31,PACK DET NEVEX 3L,1,425,425,3
32,POLLO S M ENV AV DE,1.95,177,345.15,3
33,REFRESCO SPRITE S AZ,2,135,259.62,3
34,CHOCOL COFLER 300G,1,199,199,4
35,GOMAS MOGUL 80G,1,45,45,4
36,GOMAS MOGUL ARCOR,1,153,153,4
37,CRUMBLE DE MORAS Y A,1,369,369,5
38,LENA SERRANA PACK 10,1,269,269,5
39,MORRON ROJO ESPECIAL,0.694,109,75.65,5
40,PAN DE AJO X 2 UN,1,135,135,6
41,Q P FONDUE G NATURAL,1,629,629,6
42,ACAC HVO 0 50,1,57,57,7
43,ACELGA,1,39,39,7
44,CALABACIN ENTERO,2.468,29,71.57,7
45,CEBOLLA,0.986,44,43.38,7
46,DOLCE GUSTO CHOCOCIN,1,359,359,7
47,FIDEO AL HUEVO LAS A,1,57,57,7
48,FRANK A C QUESO SA,1,169,169,7
49,INSPIRADA BERRO,1,139,139,7
50,J EXTRA ET AZ CENT,0.41,680,278.8,7
51,JUEGO NAR C ZAN LIGH,1,313,313,7
52,LECHE BLANCANUBE ENT,2,47,94,7
53,LOMITO CANAD OTTONELL,0.216,670,144.72,7
54,MANTECA CONAPROLE,1,198,198,7
55,PAN TORTUGA X6,1,79,79,7
56,POSTRE ROYAL LIGHT,2,88,176,7
57,PULPA CONAPRO,1,38,38,7
58,Q MUZZARELLA CONAPROLE,0.73,340,248.2,7
59,Q PARMESANO RALL FARMIN,1,163,163,7
60,Q PROC CHEDDAR CONAP,0.28,490,137.2,7
61,Q UNT COL S S LIGHT,1,104,104,7
62,TAPAS RECT LA ESPE,1,130,130,7
63,AGUA SALUS BD 6 25LT,1,116,116,8
64,CASERO REB BCO X UN,1,95,95,8
65,CHORIZO ANGUS A V 4,0.45,469,211.05,8
66,DET PRIX ANTIB 1 250,1,80,80,8
67,HELADO CONAP VAINIL,1,409,409,8
68,JAM EXT DE CAMPO CAM,0.306,610,186.66,8
69,LECHE ULTRA DESLACTO,2,53,106,8
70,PACK DET NEVEX 3L,1,425,425,8
71,PACK DET PRIX 1 25 L,1,80,80,8
